pr_id,author,created_at,merged_at,num_comments,num_review_comments,num_commits,accepted
5492,dependabot[bot],2024-06-01T15:12:18Z,2024-06-01T15:16:45Z,0,0,1,True
5487,jaketanis,2024-05-21T23:53:37Z,2024-05-25T18:27:37Z,1,0,1,True
5485,ThisIzAli2,2024-05-19T20:35:01Z,2024-05-25T18:32:16Z,1,0,1,True
5481,davidism,2024-05-11T15:38:08Z,2024-05-11T15:39:30Z,0,0,1,True
5477,pre-commit-ci[bot],2024-05-06T22:05:36Z,2024-05-06T22:28:44Z,0,0,1,True
5476,dependabot[bot],2024-05-06T17:19:28Z,2024-05-06T17:24:44Z,0,0,2,True
5475,JamesMRamm,2024-05-02T08:03:05Z,2024-05-02T12:10:51Z,0,0,1,True
5473,dependabot[bot],2024-05-01T15:22:07Z,2024-05-06T17:17:48Z,1,0,1,True
5470,dependabot[bot],2024-04-23T23:42:51Z,2024-04-23T23:52:13Z,1,0,1,True
5468,dependabot[bot],2024-04-23T23:34:00Z,2024-04-23T23:54:09Z,1,0,1,True
5464,azmeuk,2024-04-15T16:35:07Z,2024-05-25T17:27:04Z,0,0,1,True
5461,davidism,2024-04-07T19:18:10Z,2024-04-07T19:27:04Z,0,0,1,True
5460,davidism,2024-04-07T18:36:22Z,2024-04-07T18:42:24Z,0,0,1,True
5459,dependabot[bot],2024-04-07T18:05:00Z,2024-04-07T18:11:26Z,2,0,1,True
5457,davidism,2024-04-07T00:22:58Z,2024-04-07T17:24:40Z,1,0,20,True
5423,webknjaz,2024-02-27T00:25:19Z,2024-04-06T23:17:13Z,3,0,1,True
5404,pre-commit-ci[bot],2024-02-05T20:28:44Z,2024-02-12T20:50:45Z,0,0,1,True
5403,davidism,2024-02-03T21:02:49Z,2024-02-03T21:12:15Z,0,0,1,True
5401,dependabot[bot],2024-02-01T15:41:58Z,2024-02-03T15:40:28Z,0,0,1,True
5400,dependabot[bot],2024-02-01T15:31:35Z,2024-02-03T15:35:16Z,0,0,1,True
5393,r04922101,2024-01-26T02:21:43Z,2024-02-03T20:39:33Z,1,0,1,True
5389,Siecje,2024-01-23T16:40:43Z,2024-02-03T20:18:40Z,0,0,1,True
5386,davidism,2024-01-18T19:42:52Z,2024-01-18T20:03:25Z,0,0,1,True
5383,davidism,2024-01-15T16:24:04Z,2024-01-18T17:16:53Z,0,0,3,True
5382,davidism,2024-01-15T15:50:22Z,2024-01-15T15:52:35Z,0,0,1,True
5377,pre-commit-ci[bot],2024-01-01T20:24:11Z,2024-01-15T15:52:57Z,0,0,2,True
5374,dependabot[bot],2024-01-01T15:11:20Z,2024-01-01T15:21:54Z,0,0,1,True
5355,huebs,2023-12-05T18:05:22Z,2023-12-13T23:13:23Z,0,0,1,True
5354,pre-commit-ci[bot],2023-12-04T20:29:41Z,2023-12-04T22:26:16Z,0,0,1,True
5352,dependabot[bot],2023-12-01T15:47:16Z,2023-12-04T22:26:30Z,0,0,1,True
5351,dependabot[bot],2023-12-01T15:32:17Z,2023-12-13T23:01:14Z,0,0,1,True
5344,lizardwine,2023-11-24T22:07:31Z,2023-12-13T23:06:37Z,0,0,1,True
5336,dannyi96,2023-11-13T11:34:27Z,2023-11-15T20:55:44Z,1,0,1,True
5331,davidism,2023-11-09T18:27:31Z,2023-11-09T21:29:21Z,2,0,1,True
5330,dependabot[bot],2023-11-09T17:01:40Z,2023-11-09T17:04:53Z,0,0,1,True
5329,davidism,2023-11-09T16:54:33Z,2023-11-09T17:00:37Z,0,0,5,True
5313,Resistor-git,2023-10-28T08:36:04Z,2023-10-28T15:42:54Z,4,0,2,True
5303,raboof,2023-10-20T15:18:10Z,2023-10-20T16:50:01Z,0,0,1,True
